Setup_TWO_SIDES,Movement_MOVE_EXACTLY_2,Movement_LEAPFROG,Movement_MOVE_1,Movement_MOVE_2,Push_PUSH_1,PushOut_OUT_IS_GONE,PushOut_CENTER_IF_FREE,PushOut_CENTER_REPLACE,PushRequirement_EQUAL,PushRequirement_MORE,PushRequirement_FEWER_OR_EQUAL,PushRequirement_FEWER_OR_MORE,PushRequirement_MORE_OR_EQUAL,PushRequirement_EVEN,PushRequirement_UNEVEN,Victory_YOUR_COLOR,Victory_ANY_THREE,Victory_ONE_OF_EACH,Victory_PUSH_OUT,total_games,player0_wins,player0_win_rate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,18,11,0.6111111111111112
1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,18,11,0.6111111111111112
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,18,11,0.6111111111111112
1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,48,29,0.6041666666666666
1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,30,18,0.6
1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,30,18,0.6
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,30,18,0.6
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,42,25,0.5952380952380952
1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,42,25,0.5952380952380952
1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,24,14,0.5833333333333334
1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,48,28,0.5833333333333334
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,12,7,0.5833333333333334
1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,36,21,0.5833333333333334
1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,12,7,0.5833333333333334
1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,12,7,0.5833333333333334
1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,24,14,0.5833333333333334
1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,24,14,0.5833333333333334
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,48,28,0.5833333333333334
1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,12,7,0.5833333333333334
1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,12,7,0.5833333333333334
1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,12,7,0.5833333333333334
1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,12,7,0.5833333333333334
1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,12,7,0.5833333333333334
1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,12,7,0.5833333333333334
1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,48,28,0.5833333333333334
1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,24,14,0.5833333333333334
1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,24,14,0.5833333333333334
1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,54,31,0.5740740740740741
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,54,31,0.5740740740740741
1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,42,24,0.5714285714285714
1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,30,17,0.5666666666666667
1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,30,17,0.5666666666666667
1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,30,17,0.5666666666666667
1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,30,17,0.5666666666666667
1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,48,27,0.5625
1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,36,20,0.5555555555555556
1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,36,20,0.5555555555555556
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,18,10,0.5555555555555556
1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,18,10,0.5555555555555556
1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,18,10,0.5555555555555556
1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,18,10,0.5555555555555556
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,36,20,0.5555555555555556
1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,36,20,0.5555555555555556
1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,60,33,0.55
1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,42,23,0.5476190476190477
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,42,23,0.5476190476190477
1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,42,23,0.5476190476190477
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,24,13,0.5416666666666666
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,24,13,0.5416666666666666
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,48,26,0.5416666666666666
1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,24,13,0.5416666666666666
1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,48,26,0.5416666666666666
1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,24,13,0.5416666666666666
1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,24,13,0.5416666666666666
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,54,29,0.5370370370370371
1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,30,16,0.5333333333333333
1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,30,16,0.5333333333333333
1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,30,16,0.5333333333333333
1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,30,16,0.5333333333333333
1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,30,16,0.5333333333333333
1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,30,16,0.5333333333333333
1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,30,16,0.5333333333333333
1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,30,16,0.5333333333333333
1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,36,19,0.5277777777777778
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,36,19,0.5277777777777778
1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,36,19,0.5277777777777778
1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,36,19,0.5277777777777778
1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,42,22,0.5238095238095238
1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,42,22,0.5238095238095238
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,84,44,0.5238095238095238
1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,42,22,0.5238095238095238
1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,42,22,0.5238095238095238
1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,48,25,0.5208333333333334
1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,48,25,0.5208333333333334
1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,48,25,0.5208333333333334
1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,48,25,0.5208333333333334
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,60,31,0.5166666666666667
1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,72,37,0.5138888888888888
1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,36,18,0.5
1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,24,12,0.5
1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,30,15,0.5
1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,12,6,0.5
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,18,9,0.5
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,42,21,0.5
1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,18,9,0.5
1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,12,6,0.5
1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,18,9,0.5
1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,24,12,0.5
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,54,27,0.5
1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,24,12,0.5
1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,36,18,0.5
1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,12,6,0.5
1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,24,12,0.5
1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,24,12,0.5
1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,18,9,0.5
1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,12,6,0.5
1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,12,6,0.5
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,48,24,0.5
1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,42,21,0.5
1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,12,6,0.5
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,36,18,0.5
1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,36,18,0.5
1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,48,24,0.5
1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,30,15,0.5
1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,42,21,0.5
1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,6,3,0.5
1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,24,12,0.5
1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6,3,0.5
1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,36,18,0.5
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,12,6,0.5
1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6,3,0.5
1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,24,12,0.5
1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,18,9,0.5
1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,12,6,0.5
1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,42,21,0.5
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,12,6,0.5
1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,24,12,0.5
1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,3,0.5
1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,42,21,0.5
1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,36,18,0.5
1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,24,12,0.5
1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,30,15,0.5
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,24,12,0.5
1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,30,15,0.5
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,60,29,0.48333333333333334
1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,54,26,0.48148148148148145
1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,54,26,0.48148148148148145
1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,54,26,0.48148148148148145
1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,48,23,0.4791666666666667
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,48,23,0.4791666666666667
1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,42,20,0.47619047619047616
1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,42,20,0.47619047619047616
1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,42,20,0.47619047619047616
1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,42,20,0.47619047619047616
1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,42,20,0.47619047619047616
1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,42,20,0.47619047619047616
1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,42,20,0.47619047619047616
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,36,17,0.4722222222222222
1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,36,17,0.4722222222222222
1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,36,17,0.4722222222222222
1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,36,17,0.4722222222222222
1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,36,17,0.4722222222222222
1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,36,17,0.4722222222222222
1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,30,14,0.4666666666666667
1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,30,14,0.4666666666666667
1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,30,14,0.4666666666666667
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,30,14,0.4666666666666667
1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,30,14,0.4666666666666667
1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,60,28,0.4666666666666667
1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,30,14,0.4666666666666667
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,30,14,0.4666666666666667
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,54,25,0.46296296296296297
1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,24,11,0.4583333333333333
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,24,11,0.4583333333333333
1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,24,11,0.4583333333333333
1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,24,11,0.4583333333333333
1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,24,11,0.4583333333333333
1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,24,11,0.4583333333333333
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,48,22,0.4583333333333333
1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,24,11,0.4583333333333333
1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,24,11,0.4583333333333333
1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,24,11,0.4583333333333333
1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,24,11,0.4583333333333333
1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,24,11,0.4583333333333333
1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,24,11,0.4583333333333333
1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,24,11,0.4583333333333333
1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,24,11,0.4583333333333333
1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,24,11,0.4583333333333333
1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,42,19,0.4523809523809524
1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,42,19,0.4523809523809524
1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,42,19,0.4523809523809524
1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,42,19,0.4523809523809524
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,42,19,0.4523809523809524
1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,18,8,0.4444444444444444
1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,18,8,0.4444444444444444
1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,54,24,0.4444444444444444
1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,36,16,0.4444444444444444
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,18,8,0.4444444444444444
1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,36,16,0.4444444444444444
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,18,8,0.4444444444444444
1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,36,16,0.4444444444444444
1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,48,21,0.4375
1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,30,13,0.43333333333333335
1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,30,13,0.43333333333333335
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,30,13,0.43333333333333335
1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,30,13,0.43333333333333335
1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,30,13,0.43333333333333335
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,30,13,0.43333333333333335
1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,42,18,0.42857142857142855
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,42,18,0.42857142857142855
1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,42,18,0.42857142857142855
1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,42,18,0.42857142857142855
1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,42,18,0.42857142857142855
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,42,18,0.42857142857142855
1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,54,23,0.42592592592592593
1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,54,23,0.42592592592592593
1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,24,10,0.4166666666666667
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,24,10,0.4166666666666667
1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,12,5,0.4166666666666667
1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,12,5,0.4166666666666667
1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,12,5,0.4166666666666667
1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,48,20,0.4166666666666667
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,36,15,0.4166666666666667
1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,36,15,0.4166666666666667
1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,24,10,0.4166666666666667
1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,24,10,0.4166666666666667
1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,24,10,0.4166666666666667
1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,48,20,0.4166666666666667
1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,36,15,0.4166666666666667
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,48,20,0.4166666666666667
1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,12,5,0.4166666666666667
1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,12,5,0.4166666666666667
1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,36,15,0.4166666666666667
1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,12,5,0.4166666666666667
1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,12,5,0.4166666666666667
1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,12,5,0.4166666666666667
1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,54,22,0.4074074074074074
1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,42,17,0.40476190476190477
1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,30,12,0.4
1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,30,12,0.4
1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,30,12,0.4
1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,30,12,0.4
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,30,12,0.4
1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,30,12,0.4
1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,48,19,0.3958333333333333
1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,36,14,0.3888888888888889
